nom,adresse,code_postal,latitude,longitude,region_source,source
SG SMC,"2 PL ALEXIS MAIFFREDI, 06670 ST MARTIN DU VAR",6670.0,43.8218819,7.1918039,agences-alpes-maritimes-06,BNP
SG SMC,"109 QU DE LA BANQUIERE, 06730 ST ANDRE DE LA ROCHE",6730.0,43.7352776,7.2877711,agences-alpes-maritimes-06,BNP
SG SMC,"396 AV DU GAL LECLERC, 06700 ST LAURENT DU VAR",6700.0,43.6863966,7.1829613,agences-alpes-maritimes-06,BNP
SG SMC,"4 RUE GAMBETTA, 06560 VALBONNE",6560.0,43.6420552,7.0079956,agences-alpes-maritimes-06,BNP
SG SMC,"PL BERMOND, 06560 VALBONNE",6560.0,43.6217816,7.0392432,agences-alpes-maritimes-06,BNP
SG SMC,"28 AVENUE DE LA GARE, 06220 VALLAURIS",6220.0,43.567436,7.0739252,agences-alpes-maritimes-06,BNP
SG SMC,"10 AV DE LA RESISTANCE, 06140 VENCE",6140.0,43.7229015,7.1103101,agences-alpes-maritimes-06,BNP
SG SMC,"2 AVENUE DE LA MER, 06270 VILLENEUVE LOUBET",6270.0,43.6417376,7.140526,agences-alpes-maritimes-06,BNP
SG AUVERGNE RHÔNE ALPES,"14 AV DE LA GARE, 07100 ANNONAY",7100.0,45.2452514,4.6749679,agences-ardeche-07,BNP
SG AUVERGNE RHÔNE ALPES,"3 PL DU GAL DE GAULLE, 07200 AUBENAS",7200.0,44.606727,4.3448089,agences-ardeche-07,BNP
SG AUVERGNE RHÔNE ALPES,"29 PL JEAN JAURES, 07500 GUILHERAND GRANGES",7500.0,44.9332352,4.8803384,agences-ardeche-07,BNP
SG AUVERGNE RHÔNE ALPES,"68 RUE NATIONALE, 07120 RUOMS",7120.0,44.4540588,4.3410519,agences-ardeche-07,BNP
SG AUVERGNE RHÔNE ALPES,"4 RUE BOISSY D ANGLAS, 07300 TOURNON SUR RHONE",7300.0,45.0676275,4.8339081,agences-ardeche-07,BNP
SG GRAND EST,"5 AV JEAN JAURES, 08000 CHARLEVILLE MEZIERES",8000.0,49.7707801,4.7201284,agences-ardennes-08,BNP
SG GRAND EST,"1 PL DU 148 EME RGT D'INFANTE, 08600 GIVET",8600.0,50.1111887,4.8224902,agences-ardennes-08,BNP
SG GRAND EST,"24 PL DE LA REPUBLIQUE, 08300 RETHEL",8300.0,49.5086947,4.3660933,agences-ardennes-08,BNP
SG GRAND EST,"20 AV MARECHAL LECLERC, 08200 SEDAN",8200.0,49.7002005,4.9449107,agences-ardennes-08,BNP
SG COURTOIS,"4 AV DU GENERAL LECLERC, 09000 FOIX",9000.0,42.9711351,1.6082695,agences-ariege-09,BNP
SG COURTOIS,"10 AV DU 11 NOVEMBRE, 09300 LAVELANET",9300.0,42.9329098,1.8486398,agences-ariege-09,BNP
SG COURTOIS,"5 RTE DE FOIX, 09100 PAMIERS",9100.0,43.1019727,1.6221762,agences-ariege-09,BNP
SG COURTOIS,"1 PL VAILLANT COUTURIER, 09200 ST GIRONS",9200.0,42.9832897,1.1434901,agences-ariege-09,BNP
SG COURTOIS,"22 RUE DE LA REPUBLIQUE, 09400 TARASCON SUR ARIEGE",9400.0,42.8475818,1.6073196,agences-ariege-09,BNP
SG GRAND EST,"20 RUE ROGER SALENGRO, 10600 LA CHAPELLE ST LUC",10600.0,48.3072629,4.0285693,agences-aube-10,BNP
SG GRAND EST,"77 RUE DE LA BOULE D'OR, 10100 ROMILLY SUR SEINE",10100.0,48.516209,3.7259887,agences-aube-10,BNP
SG GRAND EST,"98 AV GALLIENI, 10300 STE SAVINE",10300.0,48.2933235,4.0495889,agences-aube-10,BNP
SG GRAND EST,"11 PL DU MARECHAL FOCH, 10000 TROYES",10000.0,48.292587,4.0851266,agences-aube-10,BNP
SG GRAND EST,"70 AV P. BROSSOLETTE, 10000 TROYES",10000.0,48.292587,4.0851266,agences-aube-10,BNP
SG COURTOIS,"15 RUE VICTOR HUGO, 11000 CARCASSONNE",11000.0,43.2303246,2.5366146,agences-aude-11,BNP
SG COURTOIS,"46 AV DR HENRI GOUT, 11000 CARCASSONNE",11000.0,43.2077173,2.3399686,agences-aude-11,BNP
SG COURTOIS,"27 CRS REPUBLIQUE, 11400 CASTELNAUDARY",11400.0,43.3182262,1.9534978,agences-aude-11,BNP
SG COURTOIS,"28 CRS REPUBLIQUE, 11200 LEZIGNAN CORBIERES",11200.0,43.2008131,2.7571844,agences-aude-11,BNP
SG COURTOIS,"16 RUE JEAN JAURES, 11300 LIMOUX",11300.0,43.0545793,2.2170703,agences-aude-11,BNP
SG COURTOIS,"3 5 CRS REPUBLIQUE, 11100 NARBONNE",11100.0,43.1494468,3.0035427,agences-aude-11,BNP
SG COURTOIS,"ROUTE DE PERPIGNAN, 11100 NARBONNE",11100.0,43.158138,2.9820588,agences-aude-11,BNP
SG COURTOIS,"1 BD DE LA MEDITERRANEE, 11100 NARBONNE",11100.0,43.15933,3.1670178,agences-aude-11,BNP
SG COURTOIS,"7 PL DE LA CAPELLE, 12100 MILLAU",12100.0,44.1002813,3.081215,agences-aveyron-12,BNP
SG COURTOIS,"62 RTE D'ESPALION, 12850 ONET LE CHATEAU",12850.0,44.3692384,2.5902383,agences-aveyron-12,BNP
SG COURTOIS,"2-4 PL GAL DE GAULLE, 12000 RODEZ",12000.0,44.3451785,2.5789654,agences-aveyron-12,BNP
SG COURTOIS,"11 BD EMILE BOREL, 12400 ST AFFRIQUE",12400.0,43.9571749,2.8895107,agences-aveyron-12,BNP
SG COURTOIS,"6 R STE EMILIE DE RODAT, 12200 VILLEFRANCHE DE ROUERGUE",12200.0,44.3498067,2.0343031,agences-aveyron-12,BNP
SG GRAND EST,"22 RUE JACQUES KABLE, 67170 BRUMATH",67170.0,48.7300761,7.7108334,agences-bas-rhin-67,BNP
SG GRAND EST,"5 RUE MERCIERE, 67150 ERSTEIN",67150.0,48.4227304,7.6618232,agences-bas-rhin-67,BNP
SG GRAND EST,"97 GRAND'RUE, 67500 HAGUENAU",67500.0,48.815224,7.7911559,agences-bas-rhin-67,BNP
SG GRAND EST,"150 RTE DE LYON, 67400 ILLKIRCH GRAFFENSTADEN",67400.0,48.5285658,7.7104319,agences-bas-rhin-67,BNP
SG GRAND EST,"38 PL DE L'HOTEL DE VILLE, 67120 MOLSHEIM",67120.0,48.5418512,7.4923276,agences-bas-rhin-67,BNP
SG GRAND EST,"37 RUE DU GENERAL GOURAUD, 67210 OBERNAI",67210.0,48.4622561,7.4846132,agences-bas-rhin-67,BNP
SG GRAND EST,"70 RUE DU GEN LECLERC, 67540 OSTWALD",67540.0,48.5468972,7.700593,agences-bas-rhin-67,BNP
SG GRAND EST,"1 PL DE LA REPUBLIQUE, 67260 SARRE UNION",67260.0,48.9390827,7.0864033,agences-bas-rhin-67,BNP
SG GRAND EST,"2 PL DU GENERAL DE GAULLE, 67700 SAVERNE",67700.0,48.7216248,7.6357003,agences-bas-rhin-67,BNP
SG GRAND EST,"116 RTE DE BISCHWILLER, 67300 SCHILTIGHEIM",67300.0,48.6059018,7.7486483,agences-bas-rhin-67,BNP
SG GRAND EST,"10 AV DE LA LIBERTE, 67600 SELESTAT",67600.0,48.2585556,7.4484345,agences-bas-rhin-67,BNP
SG GRAND EST,"34 BD D'ANVERS, 67000 STRASBOURG",67000.0,48.5851352,7.7725967,agences-bas-rhin-67,BNP
SG GRAND EST,"93 RUE BOECKLIN, 67000 STRASBOURG",67000.0,48.6020284,7.782555,agences-bas-rhin-67,BNP
SG GRAND EST,"1 QU DU GENERAL KOENIG, 67000 STRASBOURG",67000.0,48.5754246,7.7549865,agences-bas-rhin-67,BNP
SG GRAND EST,"4 RUE DU DOME, 67000 STRASBOURG",67000.0,48.5836302,7.7497528,agences-bas-rhin-67,BNP
SG GRAND EST,"28 AV GAL DE GAULLE, 67000 STRASBOURG",67000.0,48.5832105,7.755822,agences-bas-rhin-67,BNP
SG GRAND EST,"AV DE L'EUROPE, 67000 STRASBOURG",67000.0,48.5925042,7.7700903,agences-bas-rhin-67,BNP
SG GRAND EST,"255 RTE DE MITTELHAUSBERGEN, 67200 STRASBOURG",67200.0,48.5972874,7.7151042,agences-bas-rhin-67,BNP
SG GRAND EST,"65 RTE DES ROMAINS, 67200 STRASBOURG",67200.0,48.5792921,7.714503,agences-bas-rhin-67,BNP
SG GRAND EST,"267 AV DE COLMAR, 67100 STRASBOURG",67100.0,48.5534409,7.744746,agences-bas-rhin-67,BNP
SG GRAND EST,"8 PL SEBASTIEN BRANT, 67000 STRASBOURG",67000.0,48.5859077,7.7630309,agences-bas-rhin-67,BNP
SG GRAND EST,"1 RUE NATIONALE, 67160 WISSEMBOURG",67160.0,49.0367732,7.9448778,agences-bas-rhin-67,BNP
